,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
KP.3.1.1,12013,9,13.231813838000235,,,,*,*,*
JN.1,17255,9,12.499233224472356,9.82957935517056,6.340841289658879,0.08374322559219596,*,*,
JN.1.65,124,9,9.79236001943317,-0.20763998056682986,26.41527996113366,3.65286049514592e-06,,*,
JN.1.11.1,226,4,9.08958773268291,-2.6244651857068355,31.24893037141367,3.2644642190358886e-07,,,
KP.1.1,593,4,8.164083011118215,-3.5493145333144343,33.09862906662887,1.2944626292938382e-07,,,
MC.42,84,9,7.714779142229201,-2.285220857770799,30.570441715541598,4.5864011390155346e-07,,*,
LP.8.1.1,2345,4,6.795103416295884,0.03952751229799145,25.920944975404016,4.6903657193819296e-06,,,
JN.1.8.1,1498,9,5.526092279145396,-4.473907720854604,34.94781544170921,5.1329510333343265e-08,,*,
LF.7.3.5,16,3,4.718819201417399,-16.963891666984555,59.92778333396911,1.932097516552506e-13,,,
LD.2,13,3,4.718819201417399,-31.98588291907867,89.97176583815734,5.793298739773505e-20,,,
