,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
MC.33,31,5,12.30317283154857,,,,*,*,*
KP.4.1.1,12,4,9.895495909493693,-0.10450409050630682,10.209008181012614,4.07760806517693e-06,,*,
NY.12,62,4,9.335619942032931,-0.6643800579670689,11.328760115934138,2.329166685652094e-06,,*,
JN.13,15,4,9.161526734413492,-0.8384732655865079,11.676946531173016,1.9552353268123943e-06,,*,
LF.7.1,165,5,7.947882627943961,7.947882627943961,-5.895765255887921,0.012842439584178581,*,*,
MD.1,19,4,7.826525667681152,-2.1734743323188477,14.346948664637695,5.145361611911212e-07,,*,
KP.2.3.13,25,4,7.5520888219793925,-2.4479111780206075,14.895822356041215,3.9082732443196514e-07,,*,
MC.29,54,4,7.4751277808432635,-2.5248722191567365,15.049744438313473,3.625875045209714e-07,,*,
XFJ.1,59,4,7.33499377407135,-2.66500622592865,15.3300124518573,3.152184331080086e-07,,*,
KP.3.2,737,5,7.309688534123612,7.309688534123612,-4.619377068247225,0.006771721098967927,*,*,
