,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
LF.7,58,7,346.90747747189346,,,,*,*,*
XFG.3,480,6,315.1768274680587,315.1768274680586,-290.3536549361172,3.6541040381129977e-10,,*,
XFG.2,500,7,308.80110603774176,291.2624760091688,-242.52495201833756,1.5018562752984067e-20,,*,
XFG.3.1,87,6,283.45141402691996,283.4514140269198,-226.90282805383958,6.092400847440021e-24,,*,
XFG.1,14,7,264.571727576057,254.57172757605704,-169.1434551521141,1.7472853374586463e-36,,*,
LF.7.1,165,17,227.42728917723943,211.94155534580096,-83.88311069160193,5.350447031315893e-55,,,
LF.7.1.8,44,17,220.62292105686456,205.1151325754767,-70.23026515095341,5.812061886195242e-58,,,
LF.7.7.1,188,13,218.98655562237695,199.54425041903332,-59.088500838066636,2.2146748090360466e-60,,,
LF.7.1.2,26,17,213.31868337331684,197.7789734812574,-55.55794696251479,3.791230636680362e-61,,,
LF.7.6,15,13,200.48711207116474,189.88097816440438,-39.761956328808765,1.4055742689398332e-64,,,
