,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEK.1,88,145,262.58851410994697,,,,*,*,*
XEK.5,28,145,249.49421501166177,249.49421501166177,-172.98843002332353,2.055482385691201e-06,,*,
XEK.6,23,145,247.7899372715252,247.7899372715252,-169.57987454305038,3.7362993798852734e-07,,*,
XEK.2,67,145,242.1902315912508,242.1902315912508,-158.38046318250161,1.381632591079531e-09,,*,
XEK.1.2,33,145,239.77806480614584,239.77806480614584,-153.55612961229167,1.2409173815842627e-10,,*,
XEK.1.1,11,145,230.9834644045473,230.9834644045473,-135.9669288090946,1.8798487132280596e-14,,*,
KP.3.3,1715,148,223.63168777419963,221.32976689195146,-116.65953378390293,1.2050627905108865e-18,,,
XEC.2,921,148,210.4201457669323,207.8516220415956,-89.70324408319118,1.685466250164205e-24,,,
XEK.7,12,145,206.4816763676845,206.4816763676845,-86.96335273536903,4.282887042580837e-25,,*,
KP.2.3,4440,148,200.20115199545864,196.4792393614249,-66.9584787228498,1.9444277091382507e-29,,,
