,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.25,13,13,28.66175013780733,,,,*,*,*
XEC.8.1,12,14,15.688113327881162,10.27332785992625,3.453344280147501,1.0363249406672676e-08,,*,
XEC.24.1,18,9,14.60369018004713,10.30318082307593,3.3936383538481394,1.0678857337596964e-08,,,
XEC.19,59,9,14.60369018004713,3.572575183816847,16.854849632366307,1.2756247045047296e-11,,,
XEC.34,22,9,14.60369018004713,10.360339236915879,3.2793215261682427,1.1282646495496604e-08,,,
XEC.11.1,166,9,14.60369018004713,1.1560364891896104,21.68792702162078,1.134306119957121e-12,,,
XEC.17,13,9,14.603690180047128,10.360339236915879,3.2793215261682427,1.1282646495496604e-08,,,
XEC.32,42,9,14.603690180047128,10.360339236915879,3.2793215261682427,1.1282646495496604e-08,,,
XEC.4.6.1,13,9,14.603690180047128,10.360339236915879,3.2793215261682427,1.1282646495496604e-08,,,
XEC.4.1.4,23,9,14.603690180047128,5.289815073558758,13.420369852882484,7.088232558484701e-11,,,
