,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.2,921,18,237.68148053064292,,,,*,*,*
XEC.8,592,20,225.43682134622614,209.04661240704758,-130.09322481409515,8.070906753080923e-09,,,
XEC.14,193,24,223.34349818652623,205.99388481404492,-123.98776962808984,3.8222946268710646e-10,,,
XEC.9,305,24,222.82606069880293,209.45908513586895,-130.9181702717379,1.2222345037719513e-08,,,
XEC.4,192,24,217.4447866765838,209.93029571950797,-131.86059143901593,1.9555681087850496e-08,,,
XEC.33,169,9,216.08021870048748,197.72135607433393,-107.44271214866785,9.739514806798939e-14,,,
XEC.30,135,20,213.69830738946834,197.30809845028975,-106.6161969005795,6.463631437738524e-14,,,
XEC.31,66,24,210.9258530743782,193.57623970189704,-99.15247940379408,1.543073790384632e-15,,,
XEK.1,88,24,210.79779773893603,185.43454037910777,-82.86908075821555,4.500177168985211e-19,,,
XEC.29,135,24,210.5003970348463,179.15388416545161,-70.30776833090323,8.430634582483068e-22,,,
