,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.2,921,19,218.3845270447625,,,,*,*,*
XEC.33,169,52,208.14539380880697,188.07347537466484,-88.14695074932968,4.586401139015543e-07,,,
KP.3.3,1715,19,206.1800183102938,181.803758314585,-75.60751662917,8.678519329311803e-10,,*,
XEC.13,30,7,205.10563730147217,191.1518449295012,-94.30368985900242,9.929504305851046e-06,,,
XEK.5,28,19,204.2991619401972,179.91235085012255,-71.8247017002451,1.3045405762501491e-10,,*,
XEC.2.2,273,19,200.56344723018793,180.56344723018793,-73.12689446037587,2.5114265289818257e-10,,*,
XEC.8,592,19,200.38412858527894,185.80521677055756,-83.61043354111513,4.738311004073082e-08,,*,
XEC.39,155,19,198.1175641610502,178.1175641610502,-68.23512832210042,2.1780631594826413e-11,,*,
XEC.9,305,19,197.34798641137243,171.265171029534,-54.530342059068005,2.296052403260605e-14,,*,
XEC.29,135,19,197.22607805886656,168.66300019497933,-49.326000389958665,1.7053602775778556e-15,,*,
