,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XBB.1.5.32,734,6,10.20388335656583,,,,*,*,*
GC.2,35,4,7.204670020335345,-12.795329979664654,31.590659959329308,1.026187963170189e-10,,,
BA.2.9.1,448,4,7.204670020335345,-12.795329979664654,31.590659959329308,1.026187963170189e-10,,,
GC.1,14,4,7.204670020335345,-12.795329979664654,31.590659959329308,1.026187963170189e-10,,,
XBB.1.5.21,611,4,7.204670020335345,-12.795329979664654,31.590659959329308,1.026187963170189e-10,,,
XBB.2.3,695,6,5.855442715386177,5.855442715386177,-5.710885430772354,0.012906812580479873,*,*,
XBB.1.5.76,79,5,5.807613976060141,-4.192386023939859,14.384772047879718,5.601843001222524e-07,,*,
BQ.1.1.68,694,6,5.572080298108359,5.572080298108359,-5.144160596216718,0.009706107038349598,*,*,
LY.1,178,5,5.281554869078123,-4.718445130921877,15.436890261843754,3.297272629877487e-07,,*,
BA.5.2.54,62,4,5.023445784345567,-14.976554215654433,35.95310843130886,1.1600185808156379e-11,,,
