,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.22,23,12,17.007649222155955,,,,*,*,*
XEC.24,11,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.8.1,12,11,11.469367377511828,-5.007852938656351,42.0157058773127,1.6373771305908097e-07,,*,
XEC.32,42,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.16,23,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.17,13,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.25,13,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.4.3,10,11,11.469367377511828,-11.575691696690022,55.151383393380044,2.3067761182415339e-10,,*,
XEC.18.3,13,11,11.469367377511828,-4.92084156166672,41.84168312333344,1.7915759490194917e-07,,*,
XEC.4.1.4,23,11,11.469367377511828,-16.646215860047143,65.29243172009429,1.449213674555953e-12,,*,
