,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.14,193,11,234.38515387978856,,,,*,*,*
KP.3.3,1715,11,229.85867815893735,222.66704163703736,-127.33408327407471,0.00011278806852302951,*,*,
XEC.17,13,11,219.73421242200135,217.101707587513,-116.20341517502601,4.319309929515261e-07,,*,
XEC.21,38,11,219.337068835395,208.96915868604935,-99.93831737209871,1.272331354659934e-10,,*,
XEC.31,66,41,219.19675571175532,211.09222183191795,-104.1844436638359,1.059996744556789e-09,,,
XEC.40,52,41,219.182932536762,205.05463108867608,-92.10926217735215,2.5370985270981942e-12,,,
XEK.1,88,41,219.06870037631313,167.38528093675973,-16.770561873519455,1.1078072419520237e-28,,,
XEC.2.1,265,41,218.8829975339086,184.8711713414485,-51.742342682897004,4.3461350368408714e-21,,,
XEC.25,13,41,218.79291788935788,212.08469693129578,-106.16939386259156,2.8669989966797175e-09,,,
XEC.29,135,41,218.77129967222336,204.570921553925,-91.14184310784998,1.5620844510491557e-12,,,
