,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.2,921,13,242.0918954019164,,,,*,*,*
XEC.14,193,3,231.96444229452217,221.62314872228657,-155.24629744457314,2.851728965696063e-05,*,,
XEC.13,30,1,231.12191412875248,219.6864483029163,-151.37289660583258,4.098047160660086e-06,,,
XEC.15,127,1,230.57214427874072,219.20066340204588,-150.40132680409175,2.5231561490262545e-06,,,
XEC.29,135,14,228.81357327455052,208.42646483845851,-128.85292967691703,5.2774130390961316e-11,,*,
XEC.4,192,1,227.71578239352488,216.3047229874,-144.6094459748,1.395280752028283e-07,,,
XEC.30,135,1,224.84488270092245,213.49694627883892,-138.99389255767784,8.400286706108781e-09,,,
XEC.2.1,265,13,221.48739348799836,211.48739348799825,-134.9747869759965,1.1255432825894911e-09,,*,
XEC.32,42,1,220.17302044678448,208.70365306927255,-129.4073061385451,6.982702524046415e-11,,,
XEC.33,169,28,218.51424030789732,204.1576545244392,-120.31530904887842,7.415750683158346e-13,,,
