,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFC.1,51,18,256.90289727451767,,,,*,*,*
XFC.1.1.1,21,18,240.90703108738495,240.907031087385,-195.81406217477002,1.1253517471925912e-07,,*,
LP.8.1,1124,18,237.25697466867942,237.25697466867936,-188.51394933735872,2.9249162182679797e-09,,*,
LP.8.1.1,2345,1,190.22243977689078,181.97522155511592,-77.95044311023184,2.8728600561490823e-33,,,
NY.7,36,18,187.14181789026583,187.1418178902659,-88.28363578053182,5.0285812306077035e-31,,*,
NY.15,216,18,161.86483408447094,161.864834084471,-37.729668168942,5.304597544460042e-42,,*,
NY.3,209,1,161.75984070568387,136.71122254120357,12.577554917592863,6.3092065808348825e-53,,,
NY.9,107,2,156.77236308340596,146.8004729954422,-7.600945990884384,1.5205687822534183e-48,,,
PF.2,56,18,155.80118143425386,155.80118143425398,-25.602362868507953,1.2321296460250546e-44,,*,
NY.7.1,28,18,154.30001124341499,154.3000112434151,-22.6000224868302,2.7492528524119862e-45,,*,
