,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFC.1,51,16,296.5213378795392,,,,*,*,*
XFC.1.1.1,21,16,280.5254716924064,268.94231936118604,-247.88463872237207,7.717079759149585e-11,,*,
LP.8.1,1124,7,257.0681899653398,247.15029664052904,-204.30059328105807,2.6556829675991853e-20,,,
LP.8.1.1,2345,7,226.9218735339712,216.1399666538368,-142.27993330767362,9.051162131585434e-34,,,
NY.7,36,16,226.7602584952873,222.46284519679992,-154.92569039359984,5.053787098919366e-31,,*,
PF.2,56,16,205.8604942929514,201.56308099446406,-113.12616198892812,4.235086359551342e-40,,*,
NY.15,216,7,199.43450161157773,185.91734628735935,-81.8346925747187,6.763221776793461e-47,,,
NY.9,107,7,195.8200976127232,184.24438675337865,-78.4887735067573,1.273156653745456e-47,,,
NY.7.1,28,16,193.9184518484364,189.62103854994908,-89.24207709989815,2.749252852412025e-45,,*,
JN.1.16.1,466,1,192.2433792407939,168.1500720452853,-46.3001440905706,1.3029032213613406e-54,,,
