,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.2.9,75328,9,53.43055040624002,,,,*,*,*
BA.2,443141,19,49.66992327471791,48.4710779401705,49.057844119658995,0.007012927832585418,*,,
BA.2.7,1657,19,48.64384709440667,41.31812779267538,63.36374441464925,5.504195160622027e-06,,,
BA.2.81,38,20,48.186369400395044,38.516952899229366,68.96609420154127,3.330410770729815e-07,,,
BA.2.9.5,117,19,47.19899970527277,46.0211502310965,53.957699537807,0.0006051706945350532,*,,
BA.2.52,379,24,45.939033596795866,37.99018333450998,70.01963333098004,1.970122356970244e-07,,,
BA.2.25,113,24,45.48491644783674,37.53511026523086,70.92977946953827,1.2499401259891384e-07,,,
BA.2.37,3655,9,45.33577517248413,45.33577517248413,55.32844965503175,0.00030506063434013197,*,*,
BA.2.1,9083,19,44.64951466843956,40.409320842301646,65.18135831539671,2.2155718859590674e-06,,,
BA.2.9.2,352,24,42.162762759619234,34.2075963667705,77.584807266459,4.49634946228087e-09,,,
