,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XBB.2.3.15,126,89,139.57571730758193,,,,*,*,*
XBB.2.3,695,89,132.67290001743334,132.67290001743334,-65.34580003486667,0.001007785429048505,*,*,
JS.1,72,89,117.2876388598281,117.2876388598281,-34.57527771965621,2.097719767806527e-10,,*,
JS.2,38,89,111.43287254995387,111.43287254995387,-22.86574509990774,6.011090675810846e-13,,*,
XBB.2.3.11,240,89,107.46868887610744,107.46868887610744,-14.937377752214871,1.14018588019416e-14,,*,
XBB.2.3.3,274,89,104.79131196435931,104.79131196435931,-9.582623928718618,7.817474026828327e-16,,*,
XBB.2.3.7,36,89,102.89241618385704,102.89241618385704,-5.784832367714074,1.1692487960015273e-16,,*,
XBB.2.3.13,15,89,102.79419050107434,102.79419050107434,-5.5883810021486795,1.0632832087433566e-16,,*,
XBB.2.3.14,18,89,101.73502042895872,101.73502042895872,-3.4700408579174393,3.6838064569552237e-17,,*,
GE.1,794,89,98.65335456537146,98.65335456537146,2.6932908692570834,1.6930500640061164e-18,,*,
