,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
EG.1.2,93,3,4.286852244618275,,,,*,*,*
EG.13,83,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.3,87,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.4.3,12,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.4.5,11,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.1.15,163,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.1.18,12,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.1.19,178,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.1.7,91,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.2.2,11,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.5.2.3,65,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.8,38,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EG.9.1,32,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EK.2.1,51,3,4.286852244618275,-3.985980543862028,19.971961087724054,0.00025608529125713156,*,*,
EK.4,34,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EM.1,262,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EU.1,25,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EU.1.1.2,13,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
EU.1.1.3,71,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FD.1,50,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FD.3,25,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FD.4.1,30,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FE.1.1.2,42,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FE.1.1.5,17,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FG.1,40,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.1.4,26,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.11,29,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.13.3.1,20,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.15.2,14,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.15.3,35,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.17,35,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.2.2.1,10,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.2.4,58,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.2.7.1,29,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.21.2,11,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.23.1,10,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.26,42,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.27,57,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.29,37,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.3.2,161,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.3.3,141,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.3.4,97,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.31,25,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.31.1,26,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.32,18,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.32.1,13,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.35,19,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.4.1,14,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.4.9,28,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.5.1,10,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FL.9,102,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FP.2.1,16,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FP.2.1.1,10,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FP.4,47,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FT.2,13,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
FT.3.1,28,3,4.286852244618275,4.286852244618275,3.4262955107634507,1.0,*,*,
