,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.4.8,14,64,53.96506161094837,,,,*,*,*
BA.4,10442,63,51.95101977380313,48.300862221904254,51.39827555619149,0.003465147772720001,*,*,
DE.2,67,56,47.741144001208326,-2.1756074455695447,152.35121489113908,4.156308601165377e-25,,,
BA.5.1.2,2225,56,47.54923874186611,0.004344423873591574,147.99131115225282,3.676797879166444e-24,,,
BA.5.1,53705,56,47.53423165211899,10.220930638194305,127.55813872361139,1.0041252524119775e-19,,,
BA.5,6418,56,47.442995870517606,11.488553308341233,125.02289338331754,3.575541977977111e-19,,,
BA.4.1,18821,63,46.680723447806486,42.99746936335177,62.00506127329646,1.7210343304043694e-05,*,*,
BA.5.1.1,4637,54,45.824311143607595,-0.4627633854039708,148.92552677080795,2.2980070144960537e-24,,,
BA.5.1.34,91,53,45.05279547748847,-10.220265954728031,168.44053190945607,1.3329341016236624e-28,,,
BF.8,2039,56,44.70435678788077,1.502906491885967,144.99418701622807,1.6478264868902428e-23,,,
