,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BF.23,50,67,28.36266491217665,,,,*,*,*
BF.25,330,68,23.06377028216443,13.063770282164432,13.872459435671136,2.26618012776571e-07,,*,
BF.1.1,169,68,23.022090409884406,13.022090409884408,13.955819180231185,2.1664624955242316e-07,,*,
BF.16,286,68,23.01831510863733,13.01831510863733,13.96336978272534,2.1664624955242316e-07,,*,
BF.26,4179,68,22.900573207569003,12.900573207569,14.198853584862,1.9214798626616958e-07,,*,
BF.40,56,68,22.878559987005886,12.87855998700589,14.242880025988221,1.8834320121666414e-07,,*,
BF.4,1166,68,22.84209393256859,12.842093932568595,14.31581213486281,1.8095815866511173e-07,,*,
BF.28,2891,68,22.765131280898146,21.65606403604911,-3.3121280720982185,0.0012186641246017523,*,*,
BA.5.2.1,73935,68,22.752876542441463,21.621101256669377,-3.2422025133387535,0.0011767486793142377,*,*,
BF.7.12,68,68,22.67646868865997,12.67646868865997,14.64706262268006,1.5343328343549023e-07,,*,
