,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.1.1.9,160,4,4.765897077317477,,,,*,*,*
BA.1.1.6,51,4,4.765897077317477,4.765897077317477,0.4682058453650466,1.0,*,*,
BA.1.1.13,3798,4,4.76326182174086,4.76326182174086,0.4734763565182796,1.0,*,*,
BA.1.1.16,501,4,4.76190107199213,4.76190107199213,0.47619785601573916,0.9950124791926823,*,*,
BA.1.1.15,6167,4,4.761838302494538,4.761838302494538,0.47632339501092424,0.9950124791926823,*,*,
BA.1.1.12,2201,3,4.759737489831722,-2.824559362934008,15.649118725868016,0.0005054810539642003,*,*,
BA.1.1.14,6763,4,4.759676269657239,4.759676269657239,0.4806474606855229,0.9950124791926823,*,*,
BA.1.1.2,3245,4,4.7591088539056985,4.7591088539056985,0.481782292188603,0.9950124791926823,*,*,
BA.1.1.18,23085,4,4.753299450812921,4.753299450812921,0.49340109837415724,0.990049833749168,*,*,
BA.1.1.10,588,4,4.750531290758143,4.750531290758143,0.4989374184837132,0.9851119396030626,*,*,
