,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.2,443141,56,45.22075665789418,,,,*,*,*
BA.2.65,854,56,35.639864450162484,35.639864450162484,64.72027109967503,6.909694772628828e-05,*,*,
BA.2.3,27007,54,34.50491905155884,31.442957029614178,73.11408594077164,1.0413423040993233e-06,,,
BA.2.56,900,56,33.18983835201563,33.18983835201563,69.62032329596875,5.962623435460923e-06,,*,
BA.2.10,14971,56,32.43681126569339,32.43681126569339,71.12637746861321,2.8024963063077133e-06,,*,
BA.2.20,372,56,29.58546051969061,29.58546051969061,76.82907896061877,1.621084955926127e-07,,*,
BA.2.9,75328,54,29.10126234966035,26.906478161083072,82.18704367783386,1.1114669773034391e-08,,,
BA.2.14,968,56,26.56701816617878,26.56701816617878,82.86596366764243,7.911092091752483e-09,,*,
BA.2.68,71,56,26.47399387540774,26.47399387540774,83.05201224918451,7.230193772205214e-09,,*,
BA.2.1,9083,56,26.423842812718426,26.423842812718426,83.15231437456315,6.877573060963383e-09,,*,
