,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.2,443141,16,46.708837919134,,,,*,*,*
BA.2.9,75328,15,41.94305361968955,41.94305361968956,52.113892760620885,0.01560755791998283,*,*,
BA.2.7,1657,29,39.35847220426276,19.362813265097532,97.27437346980494,2.4376174709248527e-12,,,
BA.2.9.5,117,29,36.54590157934248,16.53167151484374,102.93665697031253,1.4313330443959924e-13,,,
BA.2.48,907,29,34.723941488053235,-8.787423782531294,153.57484756506258,1.450694245511565e-24,,,
BA.2.1,9083,29,34.69965307266287,22.54391234252985,90.9121753149403,5.861678657753666e-11,,,
BA.2.24,84,37,32.77385306250307,-0.22088752631893693,136.44177505263787,7.608659091570605e-21,,,
BA.2.6,424,29,31.934065962764784,11.881133380459799,112.2377332390804,1.3685836800547507e-15,,,
BA.2.10,14971,29,31.92845045520033,17.293263867698894,101.4134722646022,3.07592666066512e-13,,,
BA.2.23,10016,29,31.287344273611765,20.792591016431892,94.41481796713622,1.0186070155971666e-11,,,
