,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.4.1.4,23,5,11.000654556999855,,,,*,*,*
XEC.13,30,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.32,42,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.8.1,12,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.18.3,13,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.18.2,10,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.17,13,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.16,23,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.4.7,13,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
XEC.35.1,28,5,11.000654556999848,1.0006545569998497,5.9986908860003005,1.0,*,*,
