,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFG.3,480,8,281.94153830674713,,,,*,*,*
XFG.2,500,8,262.48123192734084,267.1698512773284,-186.3397025546568,3.4842953789198967e-09,,*,
LF.7,58,8,261.31407430452873,266.0328935059461,-184.0657870118922,1.1199296120480444e-09,,*,
XFG.3.1,87,17,241.17849588751025,245.79562327094558,-143.59124654189117,1.815810044919548e-18,,,
XFG.1,14,17,227.45193852697295,230.84917454616055,-113.69834909232111,5.868665847873536e-25,,,
LF.7.1,165,17,189.2919921680162,177.4134390091705,-6.826878018341006,3.6476548845254126e-48,,,
LF.7.7.1,188,17,185.34821641010717,170.30455563531567,7.390888729368669,2.9797510080962575e-51,,,
LF.7.1.8,44,16,182.26610850684347,180.32653557595089,-12.65307115190177,6.695926595723179e-47,,,
LF.7.6,15,17,172.01492844267443,165.87222344722662,16.255553105546767,3.5325144589331923e-53,,,
LF.7.1.2,26,17,171.15189292537735,159.24990811767282,29.500183764654366,4.71036409536813e-56,,,
