,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
HK.13,165,130,10.169243836213406,,,,*,*,*
FY.8.1,29,131,9.130739181544604,-0.8692608184553974,13.738521636910795,1.6046817735150053e-05,*,*,
FY.4.1,61,131,8.549245886149999,-1.4507541138500022,14.901508227700004,8.984587038483222e-06,,*,
FY.8,23,130,8.410313696761573,8.410313696761568,-4.820627393523136,0.17204486382305056,*,*,
FL.1,118,130,8.290629380824955,8.29062938082495,-4.581258761649899,0.1525901057568839,*,*,
HK.19,25,131,7.758518377251191,-2.2414816227488106,16.482963245497622,4.07760806517693e-06,,*,
XFG.3,480,131,7.718839893433012,-2.2811601065669875,16.562320213133976,3.917722766024335e-06,,*,
HK.8,39,131,7.699094956780391,-2.300905043219612,16.601810086439222,3.8401466576407195e-06,,*,
EG.9.1,32,131,7.183154232347627,-2.816845767652373,17.633691535304745,2.29448991136157e-06,,*,
EG.5.1.2,69,131,7.065371196691247,-2.9346288033087564,17.869257606617513,2.035029994227914e-06,,*,
