,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFG.3,480,9,320.2733149621491,,,,*,*,*
LF.7,58,9,320.1787900033735,320.06609711845596,-294.1321942369119,6.283489411665193e-05,*,*,
XFG.2,500,8,314.98761775045693,312.14989825585917,-278.29979651171834,2.294880434624143e-08,,*,
XFG.3.1,87,9,285.8112782949722,284.48001380630757,-222.96002761261514,2.2071494909247723e-20,,*,
XFG.1,14,9,256.5377441239972,254.52289047257872,-163.04578094515745,2.1604317128888993e-33,,*,
LF.7.1,165,15,228.64358675920568,238.45247022042813,-130.90494044085625,2.2555722716531716e-40,,,
LF.7.7.1,188,1,220.02102694944085,219.18024757965475,-92.3604951593095,9.647217740261947e-49,,,
LF.7.1.8,44,15,207.54760225333922,204.1762784651289,-62.35255693025778,2.9363875890908768e-55,,,
LF.7.1.2,26,15,201.20290144326145,198.8356112412446,-51.67122248248921,1.4082535232599008e-57,,,
PC.3,42,15,199.37923589002713,196.55182922347547,-47.10365844695093,1.4332368153764653e-58,,,
