,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
JN.4,91,5,11.875703814927888,,,,*,*,*
JN.1.53.1,12,4,10.761786902544735,0.7617869025447348,10.47642619491053,1.4887330630086948e-05,*,*,
NL.18,10,4,8.546213186540319,-1.453786813459681,14.907573626919362,1.625004456052791e-06,,*,
LD.2,13,4,8.283848922072828,-8.043213894442783,28.086427788885565,2.23282106367908e-09,,*,
XEC.17,13,4,8.283848922072828,-1.7161510779271723,15.432302155854345,1.2529622627773664e-06,,*,
JN.1.1.10,17,4,8.015584935478149,-1.9844150645218512,15.968830129043702,9.56485698582146e-07,,*,
JN.1.64.1,14,4,7.901439590264589,-2.098560409735411,16.197120819470822,8.525789688471989e-07,,*,
MC.10.1.5,19,4,7.850292079097649,-2.149707920902351,16.299415841804702,8.109982018779327e-07,,*,
KP.4.1.2,32,4,7.286775157282487,-2.713224842717513,17.426449685435024,4.609390570394435e-07,,*,
JN.1.18.5,37,4,7.23788036689014,-2.76211963310986,17.52423926621972,4.406565778082316e-07,,*,
