,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
KS.1.3,45,4,10.28672005785531,,,,*,*,*
KP.3.1,1957,8,8.879327290674293,4.771811309561551,-1.5436226191231022,0.004025927338459733,*,,
KP.3.2.9,28,4,8.768747872760219,8.768747872760219,-9.537495745520438,0.21980818484776157,*,*,
LK.2.1,10,4,8.69975500127327,8.69975500127327,-9.399510002546538,0.2049477931167973,*,*,
PR.2,20,4,8.648461706885719,8.648461706885719,-9.296923413771438,0.19495237129918253,*,*,
KR.1.1,33,4,8.541924464487611,8.541924464487611,-9.083848928975222,0.17464498896681085,*,*,
JN.2.5,25,4,8.435789455438805,8.435789455438805,-8.87157891087761,0.15723716631362752,*,*,
KP.2.15,253,4,8.319432239255045,8.319432239255045,-8.63886447851009,0.14015588661581538,*,*,
JN.1.16.5,24,4,7.781726649500573,7.781726649500573,-7.5634532990011465,0.08167559798529343,*,*,
LF.7.3.1,26,4,7.705022843092552,7.705022843092552,-7.410045686185104,0.07577400402284548,*,*,
