,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.29,135,10,25.810025463189106,,,,*,*,*
JN.1,17255,36,25.121782567911286,14.172949611161933,79.65410077767613,0.04242574108051123,*,,
LB.1.3,778,36,21.30816981111394,-13.50441074704132,135.00882149408264,4.0397843099299855e-14,,,
JN.1.13.1,751,36,19.360688040835633,-9.65803489088518,127.31606978177035,1.8889499939378356e-12,,,
LB.1,1128,36,18.607672223563767,-1.8015744298477714,111.60314885969554,4.895252397425355e-09,,,
XEC.17,13,46,16.950408363026042,16.950408363026042,74.09918327394792,0.680450636204589,*,,
KP.3.3,1715,36,16.60677318659155,7.1376322711703155,93.72473545765936,3.735663568188146e-05,*,,
XEC.38,34,46,16.591666791465247,16.591666791465247,74.81666641706951,0.4747342999399136,*,,
KP.3.1,1957,34,16.565974784811374,-6.886910297817107,121.77382059563422,3.029616436621494e-11,,,
XEC.5,126,46,16.56098459720565,16.56098459720565,74.87803080558871,0.4607037809989665,*,,
