,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.4.3,10,5,10.690412490876472,,,,*,*,*
XEC.12,71,5,7.63211958259029,-3.0095146431071695,54.01902928621434,0.04573003390021821,*,*,
XEC.18,165,5,7.475507955785391,-3.155902036136209,54.311804072272416,0.03955749878839871,*,*,
KP.3.1.1,12013,12,5.510808624463889,5.510808624463889,36.97838275107222,229.29284827574895,*,,
GJ.1.1,34,3,4.903037296354339,-48.15325828759136,144.30651657518274,1.1323407528185103e-21,,,
BA.2.9.5,117,3,4.738576315404844,-52.375476353840014,152.75095270768003,1.6643874184092158e-23,,,
BN.1.2.4,31,3,4.724143748100225,-62.62512750815849,173.250255016317,5.884857956181553e-28,,,
BA.5.5,23560,5,4.4979323700060245,-11.484321790547853,70.9686435810957,9.540162873079248e-06,,*,
XEC.29,135,9,4.381687478842627,-3.4788895035975913,54.957779007195185,0.028581374916281214,*,,
BQ.1.1.61,45,3,4.328995606962993,-49.500976623561684,147.00195324712337,2.9501972893727984e-22,,,
