,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.2,921,7,254.77338770195064,,,,*,*,*
XEC.39,155,3,240.65203820711835,235.95072972757873,-171.90145945515746,3.2381429438379516,*,,
XEC.25,13,3,240.2551085493788,235.54085504082792,-171.08171008165584,2.1489943746552216,*,,
XEC.18,165,3,239.99071622889934,235.2886208125014,-170.57724162500278,1.6736385017975304,*,,
XEC.33,169,3,237.81790633085885,233.1335407988504,-166.26708159770078,0.1939800422908918,*,,
XEC.8,592,3,236.1657152145822,231.52027340556356,-163.04054681112711,0.03858082066337366,*,,
XEC.17,13,3,231.8159610960638,227.10170758751298,-154.20341517502595,0.00046429055759830863,*,,
XEC.14,193,7,231.79726461408853,228.08366566253753,-156.16733132507505,0.0012432827729612261,*,*,
XEC.15,127,3,230.7430052579506,226.04462509855605,-152.0892501971121,0.0001616624562255042,*,,
XEC.31,66,15,228.6701684391337,221.09222183191787,-142.18444366383574,1.1394099696798063e-06,,,
