,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.2,921,13,221.42382275056252,,,,*,*,*
XEC.15,127,3,218.74649318650785,195.86367506811857,-105.72735013623713,7.932919413891029e-12,,,
XEC.9,305,40,217.41524530447552,194.40574895160432,-102.81149790320865,1.8423116524134325e-12,,,
XEC.33,169,40,217.21732495632344,192.51870628822303,-99.03741257644606,2.797164453618121e-13,,,
XEC.2.1,265,40,217.06050368727847,190.43007890453995,-94.86015780907991,3.4597325967842017e-14,,,
XEC.2.2,273,40,215.82149777655235,203.7728603429361,-121.5457206858722,2.1612370021454343e-08,,,
XEC.13,30,40,213.5524219518789,196.56663286859177,-107.13326573718354,1.5974937947868097e-11,,,
XEC.8,592,37,211.03861058069788,199.4325605349349,-112.86512106986982,2.8175027132782273e-10,,,
XEC.18,165,3,207.3470020285254,183.56602978499023,-81.13205956998047,3.610862201826384e-17,,,
XEC.31,66,40,206.71459558171279,189.79779936991272,-93.59559873982545,1.8426252147235624e-14,,,
