,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
KP.3.1.1,12013,14,14.89582253156577,,,,*,*,*
XEC.18,165,12,13.579185910928897,7.18897697175035,19.6220460564993,0.0004505686978900301,*,,
JN.1.42.1,18,4,10.232833572391334,-14.057469718825741,62.114939437651486,2.6740821739319686e-13,,,
JN.1.61,13,4,9.5168020979978,-6.48930242120894,46.97860484241788,5.159558067232397e-10,,,
BA.2.86.2,74,4,8.876298650923278,-34.32104518678829,102.64209037357658,4.2286045536142136e-22,,,
KP.3.1,1957,14,8.727666738671648,8.727666738671648,16.544666522656705,0.0021017183645896244,*,*,
JN.1.67,32,4,8.616015552659611,-7.310046258873593,48.62009251774718,2.27243269607094e-10,,,
JN.1.18.3,97,4,7.5070404769559556,-8.527824194426048,51.05564838885209,6.708906841846097e-11,,,
PP.1,127,4,7.172963845817089,-21.06569371783469,76.13138743566938,2.414184352702727e-16,,,
JN.1.7.5,427,4,7.064239207071848,1.9918356408823061,30.01632871823539,2.485591247888651e-06,,,
