,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
KS.1.1.1,20,4,13.21887855239024,,,,*,*,*
JN.1.53,62,4,11.072687089916231,11.072687089916231,-14.145374179832462,0.11706803704412633,*,*,
KP.3.1.3,46,4,10.134677630848639,10.134677630848639,-12.269355261697278,0.04573003390021821,*,*,
JN.1.21,60,4,9.852167346799252,9.852167346799252,-11.704334693598504,0.03438963734347268,*,*,
KR.1,62,4,9.026164521699165,9.026164521699165,-10.05232904339833,0.015070742462089098,*,*,
KP.2.3.3,149,4,8.155586324337847,8.155586324337847,-8.311172648675694,0.006313910902804404,*,*,
NY.15,216,4,7.866898913419159,7.866898913419159,-7.733797826838318,0.004724469497505623,*,*,
KP.3.2.3,759,4,7.676541506176168,7.676541506176168,-7.353083012352336,0.00390694320399908,*,*,
JN.1.16.1,466,4,7.084762352502745,7.084762352502745,-6.1695247050054896,0.0021657252178847457,*,*,
NY.13,463,4,7.071031499698438,7.071031499698438,-6.142062999396876,0.002133481770037708,*,*,
