,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.27,25,133,17.5095000192771,,,,*,*,*
XEC.40,52,133,17.28955903069684,7.289559030696838,5.420881938606325,0.8025187979624787,*,*,
PG.4,14,133,16.831188158085556,6.8311881580855545,6.337623683828891,0.5066169923655898,*,*,
XEC.15,127,133,15.487798945786222,5.4877989457862215,9.024402108427557,0.13265546508012177,*,*,
KP.3.3,1715,133,14.75454454656918,4.754544546569179,10.490910906861641,0.0636090196687718,*,*,
XEC.2.1,265,133,14.696635465623,4.6966354656229985,10.606729068754003,0.05990471874011221,*,*,
KP.3.3.3,288,133,14.512207712020391,4.512207712020391,10.975584575959218,0.049787068367863944,*,*,
KP.3.3.4,292,133,13.929129017200795,3.929129017200795,12.14174196559841,0.027875698255247015,*,*,
XEC.8,592,133,13.170633789539675,3.170633789539674,13.658732420920652,0.013036528203437736,*,*,
XEC.2,921,133,12.720093318959744,2.7200933189597443,14.559813362080511,0.008312457381923119,*,*,
