,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFC.1,51,133,299.16993195447435,,,,*,*,*
XFC.1.1.1,21,133,274.78284655183586,287.17349829337496,-272.3469965867499,2.8531853103740085e-11,,*,
LP.8.1,1124,139,259.91878101060774,257.59978842878087,-213.19957685756174,4.083858416523481e-24,,,
NY.7,36,133,252.85081945218712,250.32745198682446,-198.6549039736489,2.8286441865703354e-27,,*,
LP.8.1.1,2345,139,227.49930645618326,226.2490060740563,-150.4980121481126,9.906920306261037e-38,,,
NY.7.1,28,133,219.9281809345603,217.29945295353977,-132.59890590707954,1.285295705333914e-41,,*,
PF.2,56,133,216.4002478888026,213.74742235620303,-125.49484471240606,3.673551843243497e-43,,*,
PP.1,127,133,210.01886607995039,207.5249809671522,-113.0499619343044,7.307595434547758e-46,,*,
LP.8.1.6,76,133,210.01349671881266,207.54641008934857,-113.09282017869714,7.455218654698996e-46,,*,
NY.15,216,133,207.29878570083525,214.17532258983604,-126.35064517967209,5.647195209170681e-43,,*,
