,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFC.1,51,134,289.1699319544744,,,,*,*,*
XFC.1.1.1,21,134,264.78284655183586,261.91070145711353,-225.82140291422706,2.8389549892713977e-11,,*,
LP.8.1,1124,140,261.62410932042707,254.40225699549583,-210.80451399099167,1.554558063835646e-14,,,
NY.7,36,134,242.8508194521871,225.0646551505629,-152.12931030112583,2.8286441865703756e-27,,*,
LP.8.1.1,2345,140,227.68364122032472,220.79508944466664,-143.5901788893333,3.954948963457816e-29,,,
NY.7.1,28,134,209.9281809345603,192.03665611727828,-86.07331223455657,1.2788852662600292e-41,,*,
PF.2,56,134,206.40024788880262,188.48462551994157,-78.96925103988315,3.673551843243549e-43,,*,
PP.1,127,134,200.01886607995039,182.26218413089072,-66.52436826178143,7.271148650266524e-46,,*,
LP.8.1.6,76,134,200.01349671881266,182.28361325308708,-66.56722650617417,7.455218654699102e-46,,*,
NY.15,216,134,197.2987857008353,188.9125257535746,-79.82505150714923,5.6471952091707604e-43,,*,
