,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
LF.7.9,20,141,335.9975672323492,,,,*,*,*
LF.7.6.2,17,120,235.0945665315953,225.4222151257215,-106.84443025144299,9.456190030106193e-49,,,
XFJ.1,59,141,201.1015869392497,201.1015869392497,-58.2031738784994,2.592235126211022e-59,,*,
XFJ.3,14,141,196.71383354215692,196.71383354215692,-49.42766708431384,3.2306736395855964e-61,,*,
LF.7,58,120,147.5477084312925,137.72693702030043,68.54612595939915,7.767148359229214e-87,,,
LF.7.1,165,137,145.523313996646,140.6664547896023,62.667090420795375,1.4692218464766336e-85,,,
LF.7.9.3,20,120,144.07026238246456,127.44814658551105,89.10370682897789,2.678463910453593e-91,,,
LF.7.9.1,48,120,139.55218480047836,121.4138983499882,101.1722033000236,6.410894068301037e-94,,,
LF.7.2.1,67,120,135.26296615679328,125.46345957543424,93.07308084913151,3.679690169082188e-92,,,
XFG.3,480,81,133.71747265700253,113.85739259590731,116.28521480818537,3.3392760113472745e-97,,,
