,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
KP.3.3.10,55,117,28.001646937592586,,,,*,*,*
XEC.2.2,273,117,25.37366945661908,15.373669456619082,5.252661086761837,0.07243975703425146,*,*,
XEC.4.6.1,13,117,16.24591975782766,6.245919757827664,23.50816048434467,7.849976655468867e-06,,*,
XEK.6,23,117,16.24591975782766,6.245919757827664,23.50816048434467,7.849976655468867e-06,,*,
NP.1,16,117,16.24591975782766,6.245919757827664,23.50816048434467,7.849976655468867e-06,,*,
XEC.4.6,10,117,16.24591975782766,6.245919757827664,23.50816048434467,7.849976655468867e-06,,*,
XEC.12,71,117,15.206559173124656,5.206559173124658,25.586881653750684,2.7746110021425997e-06,,*,
ML.2,67,117,15.198925801619922,5.198925801619923,25.602148396760153,2.7607725720371986e-06,,*,
XEC.13,30,117,15.177373243234186,5.1773732432341895,25.64525351353162,2.692608854363838e-06,,*,
XEC.25,13,117,15.173155607289985,5.1731556072899885,25.653688785420023,2.692608854363838e-06,,*,
