,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.2.9,75328,12,60.386273931382554,,,,*,*,*
BA.2.9.3,709,13,46.99421939831434,37.37801521971052,63.24396956057896,2.627022117428841e-10,,*,
BA.2,443141,13,44.09556047575252,38.81529205716914,60.369415885661724,1.103256032343554e-09,,*,
BA.2.9.2,352,13,43.42505470209828,24.236977828289405,89.52604434342119,5.136446448314386e-16,,*,
BA.2.9.5,117,13,42.896553775931224,23.691235095687844,90.61752980862431,2.9783262686202286e-16,,*,
BA.2.9.6,132,13,35.11861785944134,15.930540985632463,106.13891802873508,1.270126836682047e-19,,*,
BA.2.9.1,448,20,34.78105122417925,8.799325435094362,120.40134912981128,1.017015182705555e-22,,,
BA.2.1,9083,13,31.786737600651534,9.52304140254143,118.95391719491714,2.0998628768702608e-22,,*,
BA.2.36,3016,13,31.6835751254877,19.417483576503308,99.16503284699338,4.1434620149936385e-18,,*,
BA.2.7,1657,13,29.642536918328002,18.669026772259713,100.66194645548057,1.967043539015629e-18,,*,
