,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XBB.1.9.1,1695,44,73.71822972942402,,,,*,*,*
XBB.1.5.66,441,44,70.81248410514252,70.81248410514254,-21.62496821028509,0.05447572986918986,*,*,
FL.13.2,37,44,67.8120710094188,67.81207100941884,-15.624142018837688,0.002712186887386641,*,*,
XBB.1.5.49,1290,48,65.55796489998693,61.40520859082894,-2.8104171816578827,4.483977816605421e-06,,,
FL.10,213,44,63.730625026069895,63.730625026069916,-7.461250052139832,4.585620664220731e-05,*,*,
XBB.1.5,53081,44,62.54881401844563,62.548814018445654,-5.097628036891308,1.4090637334050257e-05,*,*,
FL.2.3,614,44,62.03816266906603,62.03816266906604,-4.076325338132079,8.46136542174425e-06,,*,
XBB.1.18.1,84,44,61.40605867464219,61.4060586746422,-2.8121173492844065,4.483977816605421e-06,,*,
FL.2,401,44,61.35825220730587,61.358252207305895,-2.7165044146117907,4.286671501270264e-06,,*,
EG.8,38,44,60.24933451436263,60.24933451436265,-0.4986690287253026,1.41271100642925e-06,,*,
