,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.2,443141,55,44.0965785826619,,,,*,*,*
BA.2.1,9083,55,38.23749626658121,38.23749626658121,53.52500746683758,0.0028512436826796344,*,*,
BA.2.65,854,55,34.72338320058074,34.72338320058074,60.55323359883852,8.524338841989989e-05,*,*,
BA.2.62,26,53,32.2972662330259,27.102713914522212,75.79457217095558,4.181544784576999e-08,,,
BA.2.17,44,52,32.221307472743895,22.11657582733982,85.76684834532037,2.8458190863067647e-10,,,
BA.2.59,63,52,32.20328514380753,19.90460850177738,90.19078299644525,3.1218819932567196e-11,,,
BA.2.58,15,52,32.05519279406567,29.14518753278178,71.70962493443645,3.2158626785792565e-07,,,
BA.2.34,78,55,31.78508330357124,31.78508330357124,66.42983339285752,4.506453848944243e-06,,*,
BA.2.10.2,48,55,31.55258013443787,31.55258013443787,66.89483973112425,3.5805290111166955e-06,,*,
BA.2.10,14971,55,31.49389733987675,31.49389733987675,67.0122053202465,3.3720152341391786e-06,,*,
