,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
GM.3,10,23,105.40440131752757,,,,*,*,*
XBB.2.3.6,19,23,104.69706723686704,104.69706723686707,-11.394134473734141,0.4916441974609651,*,*,
XBB.1.5,53081,1,102.55047698076373,85.67495316843396,26.650093663132083,2.7000379728945676e-09,,,
XBB.2.3,695,12,99.58982068264685,91.13246404923592,15.735071901528158,6.316060346920352e-07,,,
XBB.2.3.19,115,23,96.77115029743824,96.7711502974383,4.457699405123407,0.00017777355152981243,*,*,
GE.1,794,23,92.98203658076851,92.98203658076852,12.035926838462956,4.016900390027534e-06,,*,
XBB.2.3.3,274,12,88.9787538245517,79.6001054976698,38.7997890046604,6.2091320267595006e-12,,,
XBB.2.3.12,37,23,88.36055249984,88.36055249984004,21.27889500031992,3.957770034104481e-08,,*,
XBB.2.3.2,378,23,84.7321096291784,84.73210962917838,28.535780741643237,1.0494496007230992e-09,,*,
GJ.1.2,1265,34,83.8311411123538,71.48103721228148,55.03792557543704,1.8473947344266785e-15,,,
