,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BQ.1.1.18,1989,61,41.292342823348115,,,,*,*,*
BQ.1,15159,61,40.982838397514435,40.98283839751443,-3.9656767950288554,0.7371233743916278,*,*,
BQ.1.1,36940,61,39.33778888238028,39.33778888238028,-0.6755777647605612,0.1422740715865136,*,*,
BQ.1.1.44,110,61,32.908183684310856,32.908183684310856,12.183632631378288,0.00022940994545549213,*,*,
BQ.1.1.1,1179,61,31.89332345657237,31.893323456572368,14.213353086855264,8.313872166080937e-05,*,*,
BQ.1.1.63,255,61,31.082583715769974,31.082583715769978,15.834832568460044,3.698493094627499e-05,*,*,
BQ.1.13,999,61,29.793009822315376,29.793009822315398,18.413980355369205,1.0180870904101522e-05,*,*,
BQ.1.23,1043,61,29.730489785008583,29.73048978500859,18.53902042998282,9.540162873079248e-06,,*,
BQ.1.1.32,1269,61,29.598829804025293,29.59882980402529,18.80234039194942,8.37717342908884e-06,,*,
BQ.1.14,1843,61,29.213038998629116,29.213038998629106,19.57392200274179,5.70025298941968e-06,,*,
