,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
DP.1,12,53,19.29758855166874,,,,*,*,*
ED.1,21,53,19.297588551668724,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.32,36,53,19.29758855166871,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.7,74,53,19.297588551668703,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.1.48,86,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.1.76,13,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
DK.1,69,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.33,11,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
DN.3,10,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
BQ.1.1.53,57,53,19.29758855166869,19.297588551668692,-0.5951771033373845,1.0,*,*,
