,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
BA.5.2.10,14,3,4.102385074794314,,,,*,*,*
BA.5.2.12,97,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.38,16,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.4,98,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.41,19,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.43,10,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.49,19,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.54,62,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.61,24,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BA.5.2.63,12,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.10.1,37,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.12,89,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.22,133,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.3.1,23,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.34,31,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.41,156,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.5.1,12,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.5.2,12,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.5.4,14,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.12,68,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.15,57,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.16,31,3,4.102385074794314,-1.5433378665713882,13.086675733142776,0.0035351484011196714,*,*,
BF.7.17,28,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.19.1,13,3,4.102385074794314,-3.8870029853088983,17.774005970617797,0.0003405324962741616,*,*,
BF.7.3,68,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.8,127,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.7.9,14,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BF.9,111,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
BV.2,69,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CD.1,34,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CE.1,128,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CF.1,19,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CK.1.2,36,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CK.1.3,89,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CK.1.5,220,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CK.3,105,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CP.1.3,15,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CP.2,40,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CP.6,19,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
CY.1,22,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
DG.1,59,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
DQ.1,112,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
XBF.7,21,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
XBF.7.1,13,3,4.102385074794314,4.102385074794314,1.7952298504113724,1.0,*,*,
