,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
CH.1.1.1,1273,22,44.87295570608109,,,,*,*,*
DV.2,86,22,44.791959357356305,44.791959357356305,-33.58391871471261,0.9185122844014566,*,*,
DV.6,1051,22,44.73012043512446,44.73012043512446,-33.460240870248924,0.8650222931107416,*,*,
DV.1.1,254,22,44.71449849642862,44.71449849642862,-33.428996992857236,0.8521437889662112,*,*,
CH.1.1,4056,22,43.69084543775779,43.69084543775779,-31.381690875515574,0.30574617949871163,*,*,
DV.6.1,36,21,39.53482307746838,38.792505037446375,-21.58501007489275,0.0022881766529221693,*,*,
DV.1,50,22,38.81846920785281,38.81846920785281,-21.636938415705615,0.002346102120672079,*,*,
DV.5,17,22,38.620554427187976,38.620554427187976,-21.241108854375952,0.0019208259560556996,*,*,
DV.6.2,24,22,37.84816021735272,37.84816021735272,-19.69632043470544,0.000889367519605198,*,*,
DV.3.1,20,22,35.59495680188052,35.59495680188052,-15.189913603761042,9.327112346494864e-05,*,*,
