case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
1	PP_0023WJT	150	53	B.D	N/A	N/A	1-4,5-53		B.D.E.3 + B.D	<<	N/A	4-5	N/A	6.24e-64	3.10e-04	[], []
1	PP_0023WKR	150	56	B.D	N/A	N/A	1-4,5-56		B.D.E.3 + B.D	<<	N/A	4-5	N/A	1.05e-72	3.11e-04	[], []
1	PP_0022LH7	150	49	B.D	N/A	N/A	1-40,41-49		B.D + B.D.4.1	>>	N/A	40-41	N/A	1.65e-05	1.83e-78	[], []
1	PP_0022LMZ	150	48	B.D	N/A	N/A	1-39,40-48		B.D + B.D.4.1	>>	N/A	39-40	N/A	1.65e-05	6.07e-92	[], []
1	PP_0022LGA	150	48	B.D	N/A	N/A	1-39,40-48		B.D + B.D.4.1	>>	N/A	39-40	N/A	1.65e-05	3.18e-61	[], []
1	PP_0022FRW	150	50	B.D	N/A	N/A	1-4,5-50		B.D.E.3 + B.D	<<	N/A	4-5	N/A	2.91e-54	3.10e-04	[], []
1	PP_0023T1X	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_0023T9F	150	42	B.D	N/A	N/A	1-39,40-42		B.D + B.D.4.NmC1	>>	N/A	39-40	N/A	2.09e-01	6.60e-136	[], []
1	PP_0023TAD	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_0023TBB	150	42	B.D	N/A	N/A	1-39,40-42		B.D + B.D.4.NmC1	>>	N/A	39-40	N/A	2.09e-01	6.60e-136	[], []
1	PP_0023TPL	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_0023TRG	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_0023TW6	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_0023TZ0	150	42	B.D	N/A	N/A	1-39,40-42		B.D + B.D.4.NmC1	>>	N/A	39-40	N/A	2.09e-01	6.60e-136	[], []
1	PP_0022SUD	150	54	B.D	N/A	N/A	1-49,50-54		B.D + B.D.4.1	>>	N/A	49-50	N/A	1.37e-03	9.82e-164	[], []
1	PP_0023USD	150	42	B.D	N/A	N/A	1-39,40-42		B.D + B.D.4.NmC1	>>	N/A	39-40	N/A	2.09e-01	6.60e-136	[], []
1	PP_0023UTB	150	41	B.D	N/A	N/A	1-38,39-41		B.D + B.D.4.NmC1	>>	N/A	38-39	N/A	2.09e-01	4.56e-136	[], []
1	PP_002L3A2	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.09e-01	5.73e-219	[], []
1	PP_0027FDB	150	60	B.D	N/A	N/A	1-56,57-60		B.D + B.D.4.1	>>	N/A	56-57	N/A	1.88e-03	4.33e-203	[], []
1	PP_002L3B0	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.09e-01	5.73e-219	[], []
1	PP_0022SX7	150	60	B.D	N/A	N/A	1-56,57-60		B.D + B.D.4.1	>>	N/A	56-57	N/A	1.88e-03	4.33e-203	[], []
1	PP_0027FF7	150	60	B.D	N/A	N/A	1-56,57-60		B.D + B.D.4.1	>>	N/A	56-57	N/A	1.88e-03	4.33e-203	[], []
1	PP_002L3CY	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.09e-01	5.73e-219	[], []
1	PP_0024ZNE	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_00250KH	150	53	B.D	N/A	N/A	1-50,51-53		B.D + B.D.4.NmC1	>>	N/A	50-51	N/A	2.09e-01	1.30e-215	[], []
1	PP_0024ZV0	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.70e-230	[], []
1	PP_0024ZR8	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZQA	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZPC	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZU2	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.70e-230	[], []
1	PP_0024ZT4	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZS6	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZMG	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.68e-224	[], []
1	PP_0024ZWY	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.10e-01	1.40e-230	[], []
1	PP_0024ZXW	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.10e-01	1.40e-230	[], []
1	PP_0024ZYU	150	52	B.D	N/A	N/A	1-49,50-52		B.D + B.D.4.NmC1	>>	N/A	49-50	N/A	2.10e-01	1.40e-230	[], []
1	PP_002500N	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.31e-229	[], []
1	PP_002503G	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_002504E	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	4.49e-229	[], []
1	PP_002501L	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_0024ZZS	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	2.38e-229	[], []
1	PP_00250A2	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_002502J	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_00289UJ	150	58	B.D	N/A	N/A	1-33,38-58	33-38	B.D + B.D.4.1	>>	N/A	37-38	N/A	9.29e-17	2.39e-128	[], []
1	PP_0027YWT	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_0027YXR	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_0027YYP	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	1.83e-229	[], []
1	PP_0027YZM	150	51	B.D	N/A	N/A	1-48,49-51		B.D + B.D.4.NmC1	>>	N/A	48-49	N/A	2.09e-01	2.11e-219	[], []
1	PP_0021PL0	150	48	B.D	N/A	N/A	1-4,5-48		B.D.E.3 + B.D	<<	N/A	4-5	N/A	2.16e-40	2.33e-02	[], []
1	PP_0021Q9N	150	49	B.D	N/A	N/A	1-5,6-49		B.D.E.3 + B.D	<<	N/A	5-6	N/A	2.17e-40	2.08e-04	[], []
1	PP_00227ZN	150	73	B.D	N/A	N/A	1-65,71-73	65-71	B.D + B.D	>>	N/A	65-66	N/A	2.72e+00	2.72e+00	[], []
1	PP_0022L8S	150	50	B.D	N/A	N/A	1-41,42-50		B.D + B.D.4.1	>>	N/A	41-42	N/A	1.65e-05	8.48e-90	[], []
1	PP_00232YT	150	58	B.D	N/A	N/A	1-4,5-58		B.D.E.3 + B.D	<<	N/A	4-5	N/A	3.00e-85	3.11e-04	[], []
1	PP_00249JC	150	51	B.D	N/A	N/A	1-5,6-51		B.D.E.3 + B.D	<<	N/A	5-6	N/A	9.28e-59	2.07e-04	[], []
4	PP_002T99J	2215	63	B.D.4.1.1.NmC1	N/A	N/A	1-4,8-63	4-8	B.D.4.1.1.NmC1 + B.D.4.1.1.NmC1	<<	N/A	6-7	N/A	2.72e+00	2.72e+00	[], []
5	PP_002MM6Q	115	27	B.D.1.1	N/A	N/A	1-4,12-27	4-12	B.D.1.1 + B.D.1.1	<<	N/A	8-9	N/A	2.72e+00	2.72e+00	[], []
5	PP_002N4JE	115	32	B.D.1.1	N/A	N/A	1-4,7-32	4-7	B.D.1.1 + B.D.1.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
5	PP_002MLNS	115	32	B.D.1.1	N/A	N/A	1-4,7-32	4-7	B.D.1.1 + B.D.1.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
5	PP_0026ZDV	115	28	B.D.1.1	N/A	N/A	1-23,24-28		B.D.1.1 + B.D.4.1	>>	N/A	23-24	N/A	1.66e-01	6.02e-81	[], []
5	PP_002MS9D	115	28	B.D.1.1	N/A	N/A	1-24,25-28		B.D.1.1 + B.D.4.1	>>	N/A	24-25	N/A	4.19e-01	1.42e-87	[], []
5	PP_002MMAG	115	29	B.D.1.1	N/A	N/A	1-25,26-29		B.D.1.1 + B.D.4.1	>>	N/A	25-26	N/A	9.98e-02	3.44e-70	[], []
5	PP_0025573	115	31	B.D.1.1	N/A	N/A	1-28,29-31		B.D.1.1 + B.D.4.1	>>	N/A	28-29	N/A	2.12e-01	8.44e-88	[], []
5	PP_002SQEV	115	23	B.D.1.1	N/A	N/A	1-17,18-23		B.D.1.1 + B.D.4.NmC1	>>	N/A	17-18	N/A	2.59e-03	2.85e-15	[], []
5	PP_002MM8L	115	30	B.D.1.1	N/A	N/A	1-27,28-30		B.D.1.1 + B.D.4.1	>>	N/A	27-28	N/A	2.13e-01	2.86e-84	[], []
5	PP_002MM7N	115	32	B.D.1.1	N/A	N/A	1-29,30-32		B.D.1.1 + B.D.4.1	>>	N/A	29-30	N/A	2.13e-01	2.89e-103	[], []
5	PP_0021DAX	115	26	B.D.1.1	N/A	N/A	1-8,11-26	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DBV	115	29	B.D.1.1	N/A	N/A	1-8,11-29	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DCT	115	29	B.D.1.1	N/A	N/A	1-8,11-29	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DDR	115	29	B.D.1.1	N/A	N/A	1-8,11-29	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DEP	115	29	B.D.1.1	N/A	N/A	1-8,11-29	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DFM	115	28	B.D.1.1	N/A	N/A	1-8,11-28	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DGK	115	29	B.D.1.1	N/A	N/A	1-8,11-29	8-11	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DHG	115	30	B.D.1.1	N/A	N/A	1-9,12-30	9-12	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_0021DLA	115	31	B.D.1.1	N/A	N/A	1-9,13-31	9-13	B.D.1.1 + B.D.1.1	<<	N/A	10-11	N/A	2.72e+00	2.72e+00	[], []
5	PP_00232R7	115	37	B.D.1.1	N/A	N/A	1-3,10-37	3-10	B.D.1.1 + B.D.1.1	<<	N/A	9-10	N/A	2.72e+00	2.72e+00	[], []
5	PP_002MLLW	115	30	B.D.1.1	N/A	N/A	1-4,7-30	4-7	B.D.1.1 + B.D.1.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
5	PP_002MLMU	115	29	B.D.1.1	N/A	N/A	1-4,7-29	4-7	B.D.1.1 + B.D.1.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
5	PP_002MS6K	115	31	B.D.1.1	N/A	N/A	1-27,28-31		B.D.1.1 + B.D.4.1	>>	N/A	27-28	N/A	1.68e-01	4.05e-73	[], []
5	PP_002N4KC	115	28	B.D.1.1	N/A	N/A	1-4,7-28	4-7	B.D.1.1 + B.D.1.1	<<	N/A	5-6	N/A	2.72e+00	2.72e+00	[], []
7	PP_002MUYY	260	109	B.D.4.1.1	N/A	N/A	1-25,26-31,32-109	25-32 -> 	B.D.4.1.1 + B.D.4.NmC1 + B.D.4.1.1	<<	N/A	25-26, 31-32	N/A	3.55e-16	0.00e+00	[], []
8	PP_0022C80	334	20	B.D.1	N/A	N/A	1-5,6-20		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_0022CTV	334	20	B.D.1	N/A	N/A	1-5,6-20		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_00235A1	334	19	B.D.1	N/A	N/A	1-5,6-19		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_00235BZ	334	20	B.D.1	N/A	N/A	1-5,6-20		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_00235CX	334	20	B.D.1	N/A	N/A	1-5,6-20		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_00235ZN	334	23	B.D.1	N/A	N/A	1-6,12-23	6-12	B.D.4.1.1 + B.D.1	<<	N/A	6-7	N/A	0.00e+00	3.93e-01	[], []
8	PP_0023692	334	17	B.D.1	N/A	N/A	1-6,7-17		B.D.1 + B.D.1.1	<<	N/A	6-7	N/A	1.93e-05	1.78e-11	[], []
8	PP_00236TZ	334	25	B.D.1	N/A	N/A	1-16,17-18,19-25	16-19 -> 	B.D.1 + B.D.2 + B.D.1	>>	N/A	16-17, 18-19	N/A	1.77e-04	4.52e-40	[], []
8	PP_0020BWU	334	21	B.D.1	N/A	N/A	1-5,9-18,19-21	5-19 -> 5-9	B.D.1 + B.D.4.NmC1 + B.D.1	<<	N/A	6-7, 18-19	N/A	4.49e-03	2.75e-14	[], []
8	PP_0024559	334	24	B.D.1	N/A	N/A	1-5,6-24		B.D.4.1.1 + B.D.4.NmC1	<<	N/A	5-6	N/A	0.00e+00	7.35e+00	[], []
8	PP_00236WT	334	26	B.D.1	N/A	N/A	1-22,23-26		B.D.1 + B.D.4.NmC1	>>	N/A	22-23	N/A	4.75e-03	2.83e-08	[], []
8	PP_00237BX	334	26	B.D.1	N/A	N/A	1-22,23-26		B.D.1 + B.D.4.NmC1	>>	N/A	22-23	N/A	4.72e-03	2.63e-09	[], []
8	PP_00283TS	334	20	B.D.1	N/A	N/A	1-7,14-20	7-14	B.D.4.1.1 + B.D.1	<<	N/A	7-8	N/A	0.00e+00	7.85e-02	[], []
8	PP_00283UQ	334	20	B.D.1	N/A	N/A	1-7,14-20	7-14	B.D.4.1.1 + B.D.1	<<	N/A	7-8	N/A	0.00e+00	7.85e-02	[], []
8	PP_0026KLU	334	20	B.D.1	N/A	N/A	1-5,6-20		B.D.4.1.1 + B.D.1	<<	N/A	5-6	N/A	0.00e+00	1.42e-01	[], []
8	PP_0025V1R	334	20	B.D.1	N/A	N/A	1-10,11-20		B.D.1 + B.D	<<	N/A	10-11	N/A	1.54e-02	1.29e-18	[], []
8	PP_0025QX3	334	40	B.D.1	N/A	N/A	1-16,17-40		B.D.3 + B.D.1	<<	N/A	16-17	N/A	9.93e-39	3.25e-03	[], []
8	PP_0025QY1	334	40	B.D.1	N/A	N/A	1-16,17-40		B.D.3 + B.D.1	<<	N/A	16-17	N/A	9.93e-39	3.25e-03	[], []
8	PP_002MLUE	334	35	B.D.1	N/A	N/A	1-18,20-35	18-20	B.D.2 + B.D.4.1	<<	N/A	18-19	N/A	1.13e-08	8.62e-15	[], []
8	PP_0020RVG	334	22	B.D.1	N/A	N/A	1-18,19-22		B.D.1 + B.D.4.1	>>	N/A	18-19	N/A	9.12e-02	1.28e-44	[], []
8	PP_0020RYA	334	32	B.D.1	N/A	N/A	1-27,28-32		B.D.1 + B.D.4.1	>>	N/A	27-28	N/A	5.54e-03	5.01e-66	[], []
8	PP_0020RZ8	334	32	B.D.1	N/A	N/A	1-27,28-32		B.D.1 + B.D.4.1	>>	N/A	27-28	N/A	5.54e-03	5.01e-66	[], []
8	PP_0020S7S	334	28	B.D.1	N/A	N/A	1-22,23-28		B.D.1 + B.D.4.1	>>	N/A	22-23	N/A	3.06e-03	2.93e-42	[], []
8	PP_0020S8Q	334	33	B.D.1	N/A	N/A	1-29,30-33		B.D.1 + B.D.4.1	>>	N/A	29-30	N/A	1.30e-02	7.49e-94	[], []
8	PP_0020SFA	334	33	B.D.1	N/A	N/A	1-3,16-33	3-16	B.D.1 + B.D.4.1	<<	N/A	15-16	N/A	8.48e-03	1.65e-22	[], []
8	PP_0020SG8	334	32	B.D.1	N/A	N/A	1-23,24-32		B.D.1 + B.D.4.1	>>	N/A	23-24	N/A	3.12e-05	2.03e-48	[], []
8	PP_0020SH5	334	32	B.D.1	N/A	N/A	1-23,24-32		B.D.1 + B.D.4.1	>>	N/A	23-24	N/A	3.12e-05	2.03e-48	[], []
8	PP_0020SJ3	334	32	B.D.1	N/A	N/A	1-23,24-32		B.D.1 + B.D.4.1	>>	N/A	23-24	N/A	3.12e-05	2.03e-48	[], []
8	PP_0020SK1	334	32	B.D.1	N/A	N/A	1-23,24-32		B.D.1 + B.D.4.1	>>	N/A	23-24	N/A	3.12e-05	2.03e-48	[], []
8	PP_0020SLZ	334	33	B.D.1	N/A	N/A	1-27,28-33		B.D.1 + B.D.4.1	>>	N/A	27-28	N/A	2.31e-04	1.61e-46	[], []
8	PP_0020SMX	334	32	B.D.1	N/A	N/A	1-23,24-32		B.D.1 + B.D.4.1	>>	N/A	23-24	N/A	3.12e-05	2.03e-48	[], []
8	PP_0020SPT	334	32	B.D.1	N/A	N/A	1-24,28-32	24-28	B.D.1 + B.D.4.1	>>	N/A	24-25	N/A	4.33e-04	3.06e-57	[], []
8	PP_0020SQR	334	26	B.D.1	N/A	N/A	1-18,22-26	18-22	B.D.1 + B.D.4.1	>>	N/A	18-19	N/A	4.31e-04	1.37e-31	[], []
8	PP_0021C2E	334	24	B.D.1	N/A	N/A	1-19,20-24		B.D.1 + B.D.1.1	>>	N/A	19-20	N/A	6.47e-03	1.72e-51	[], []
8	PP_0021C3C	334	24	B.D.1	N/A	N/A	1-19,20-24		B.D.1 + B.D.1.1	>>	N/A	19-20	N/A	6.47e-03	1.72e-51	[], []
8	PP_0021C4A	334	24	B.D.1	N/A	N/A	1-19,20-24		B.D.1 + B.D.1.1	>>	N/A	19-20	N/A	6.47e-03	1.72e-51	[], []
8	PP_0021C58	334	25	B.D.1	N/A	N/A	1-19,22-25	19-22	B.D.1 + B.D.1.1	>>	N/A	20-21	N/A	3.95e+06	4.60e-49	[], []
8	PP_0021C66	334	26	B.D.1	N/A	N/A	1-21,22-26		B.D.1 + B.D.1.1	>>	N/A	21-22	N/A	6.44e-03	4.41e-63	[], []
8	PP_0021C74	334	26	B.D.1	N/A	N/A	1-21,22-26		B.D.1 + B.D.1.1	>>	N/A	21-22	N/A	6.47e-03	1.13e-48	[], []
8	PP_0021CM9	334	27	B.D.1	N/A	N/A	1-22,23-27		B.D.1 + B.D.1.1	>>	N/A	22-23	N/A	6.44e-03	6.07e-69	[], []
8	PP_0021D49	334	26	B.D.1	N/A	N/A	1-21,22-26		B.D.1 + B.D.1.1	>>	N/A	21-22	N/A	2.56e-04	5.25e-34	[], []
8	PP_0021SAJ	334	31	B.D.1	N/A	N/A	1-28,29-31		B.D.1 + B.D.4.1	>>	N/A	28-29	N/A	8.13e-02	5.05e-50	[], []
8	PP_0021TG5	334	46	B.D.1	N/A	N/A	1-5,22-46	5-22	B.3 + B.D.1	<<	N/A	5-6	N/A	3.26e-30	1.71e-07	[], []
8	PP_0022SZ3	334	31	B.D.1	N/A	N/A	1-9,10-31		B.D + B.D.1	<<	N/A	9-10	N/A	4.52e-40	1.16e-02	[], []
8	PP_0022T1Z	334	27	B.D.1	N/A	N/A	1-10,11-27		B.D + B.D.1	<<	N/A	10-11	N/A	2.25e-27	5.14e-03	[], []
