genomeIDs	original_lineage	recombinant_parents	breakpoint_count	case_report_folder
PQ797673.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PQ797673.1
PQ797697.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PQ797697.1
PQ843894.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PQ843894.1
PV949463.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV949463.1
PV338412.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV338412.1
PV338420.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV338420.1
PV160119.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV160119.1
PV214447.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV214447.1
PV649299.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV649299.1
PV160183.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV160183.1
PV160191.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV160191.1
PV160199.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV160199.1
PV214511.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV214511.1
PV214519.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV214519.1
PV214527.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV214527.1
PV792205.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV792205.1
PV456944.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456944.1
PV456952.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456952.1
PV456960.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456960.1
PV792189.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV792189.1
PV792197.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV792197.1
PV456968.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456968.1
PV456976.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456976.1
PV456984.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456984.1
PV456992.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV456992.1
PV493717.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV493717.1
PV493725.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV493725.1
PX061404.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061404.1
PV457040.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV457040.1
PV457048.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV457048.1
PV649379.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV649379.1
PV649387.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV649387.1
PV649443.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV649443.1
PV846149.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846149.1
PV846157.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846157.1
PV904373.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV904373.1
PV846173.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846173.1
PV846165.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846165.1
PV846197.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846197.1
PV846205.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846205.1
PV846213.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846213.1
PX061508.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061508.1
PX061516.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061516.1
PV846221.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846221.1
PV846229.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846229.1
PX061524.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PX061524.1
PV846237.1	A.1.NmC9	A.1.NmC8 + A.1.NmC9	1BP	results/recombinhunt_output/influenza/dist5size50/structured_reports/case_2_A.1.NmC9_PV846237.1
