,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
LF.7.9,20,134,204.0801418633825,,,,*,*,*
XFJ.3,14,116,203.68906660543132,190.05682679387803,-42.11365358775606,5.829466373086881e-05,*,,
XFJ.1,59,116,203.3616569531948,194.69668707158704,-51.39337414317407,0.00603608292359957,*,,
JN.1.4,8971,134,166.14107184716894,176.39912547062877,-14.79825094125755,6.844435750166055e-11,,*,
LF.7,58,134,153.50669608244135,149.37894010535115,39.2421197892977,1.2609583736725998e-22,,*,
JN.1,17255,134,143.56753473905113,152.64417040866428,32.71165918267144,3.3012030177556288e-21,,*,
LF.7.2.1,67,134,140.3943769565238,147.54160252222974,42.916794955540524,2.0026216333465032e-23,,*,
LF.7.1,165,135,137.22011755150447,144.58169689662512,48.836606206749764,1.0377368454669128e-24,,*,
LF.7.9.1,48,134,136.45876037309256,132.34983847887924,73.30032304224153,5.066006272937292e-30,,*,
LF.7.1.2,26,134,133.8024124884905,129.76233466731136,78.47533066537727,3.800519936682722e-31,,*,
