case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
2	MH030053.1	377	1423	A.1.NmC1	N/A	N/A	1-1336,1337-1423		A.1.NmC2 + A.1.NmC1	>>	N/A	1336-1337	N/A	4.65e-202	7.12e-11	[], []
2	MZ604862.1	377	1429	A.1.NmC1	N/A	N/A	1-1381,1382-1429		A.1.NmC2 + A.1.NmC1	>>	N/A	1381-1382	N/A	2.30e-217	5.55e-07	[], []
2	OQ714242.1	377	938	A.1.NmC1	N/A	N/A	1-279,280-288,442-938	279-442 -> 288-442	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	279-280, 441-442	N/A	8.09e-37	1.78e-77	[], []
2	ON022368.1	377	1369	A.1.NmC1	N/A	N/A	1-1267,1272-1369	1267-1272	A.1.NmC2 + A.1.NmC1	>>	N/A	1268-1269	N/A	4.73e-214	6.84e+01	[], []
2	OP508590.1	377	850	A.1.NmC1	N/A	N/A	1-55,56-96,97-850	55-97 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	55-56, 96-97	N/A	9.21e-08	1.80e-40	[], []
2	OP508602.1	377	863	A.1.NmC1	N/A	N/A	1-846,847-848,849-863	846-849 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	846-847, 848-849	N/A	4.11e-03	3.41e-61	[], []
2	OP508604.1	377	620	A.1.NmC1	N/A	N/A	1-123,124-248,249-620	123-249 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	123-124, 248-249	N/A	1.26e-40	2.58e-40	[], []
2	OP508608.1	377	694	A.1.NmC1	N/A	N/A	1-272,273-302,303-694	272-303 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	272-273, 302-303	N/A	2.61e-25	2.76e-45	[], []
2	OP508706.1	377	1455	A.1.NmC1	N/A	N/A	1-1435,1452-1455	1435-1452	A.1.NmC2 + A.1.NmC1	>>	N/A	1435-1436	N/A	7.11e-190	8.76e+04	[], []
2	OP508626.1	377	756	A.1.NmC1	N/A	N/A	1-281,282-314,315-756	281-315 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	281-282, 314-315	N/A	1.57e-22	2.80e-50	[], []
2	OP508628.1	377	774	A.1.NmC1	N/A	N/A	1-712,713-730,731-774	712-731 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	712-713, 730-731	N/A	1.93e-04	5.64e-31	[], []
2	OP508681.1	377	1435	A.1.NmC1	N/A	N/A	1-1425,1428-1435	1425-1428	A.1.NmC1 + A.1.NmC2	>>	N/A	1427-1428	N/A	1.03e+01	1.42e-221	[], []
2	OP508646.1	377	759	A.1.NmC1	N/A	N/A	1-123,124-152,291-759	123-291 -> 152-291	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	123-124, 290-291	N/A	6.37e-20	3.08e-45	[], []
2	OP508659.1	377	874	A.1.NmC1	N/A	N/A	1-162,163-237,315-874	162-315 -> 237-315	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	162-163, 314-315	N/A	1.28e-19	4.60e-66	[], []
2	OP508704.1	377	1431	A.1.NmC1	N/A	N/A	1-1421,1424-1431	1421-1424	A.1.NmC1 + A.1.NmC2	>>	N/A	1423-1424	N/A	1.04e+01	5.95e-226	[], []
2	OP508678.1	377	1440	A.1.NmC1	N/A	N/A	1-1422,1425-1440	1422-1425	A.1.NmC1 + A.1.NmC2	>>	N/A	1424-1425	N/A	7.10e-06	1.82e-223	[], []
2	OP508698.1	377	1450	A.1.NmC1	N/A	N/A	1-1424,1434-1447,1448-1450	1424-1448 -> 1424-1434	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	>>	N/A	1433-1434, 1447-1448	N/A	6.36e-04	2.63e-211	[], []
2	OP508680.1	377	1445	A.1.NmC1	N/A	N/A	1-1428,1429-1442,1443-1445	1428-1443 -> 	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	>>	N/A	1428-1429, 1442-1443	N/A	6.36e-04	7.48e-266	[], []
2	OP508695.1	377	1448	A.1.NmC1	N/A	N/A	1-1423,1433-1448	1423-1433	A.1.NmC1 + A.1.NmC2	>>	N/A	1432-1433	N/A	2.10e+10	2.71e-213	[], []
2	OP508686.1	377	1439	A.1.NmC1	N/A	N/A	1-1419,1429-1439	1419-1429	A.1.NmC1 + A.1.NmC2	>>	N/A	1428-1429	N/A	2.59e-01	4.95e-207	[], []
3	OQ932914.1	835	1170	A.1	N/A	N/A	1-1098,1152-1170	1098-1152	A.1.NmC2 + A.1.NmC1	>>	N/A	1151-1152	N/A	8.64e-194	1.48e-36	[], []
3	MH666056.1	835	1430	A.1	N/A	N/A	1-1154,1355-1430	1154-1355	A.1.NmC2 + A.1.NmC1	>>	N/A	1231-1232	N/A	3.05e-240	6.87e-53	[], []
3	MH666058.1	835	1430	A.1	N/A	N/A	1-1154,1355-1430	1154-1355	A.1.NmC2 + A.1.NmC1	>>	N/A	1231-1232	N/A	3.05e-240	6.87e-53	[], []
3	ON502428.1	835	1418	A.1	N/A	N/A	1-1172,1181-1418	1172-1181	A.1.NmC2 + A.1.NmC1	>>	N/A	1172-1173	N/A	4.91e-184	1.47e-79	[], []
3	MH018098.1	835	1024	A.1	N/A	N/A	1-767,881-1024	767-881	A.1.NmC2 + A.1.NmC1	>>	N/A	880-881	N/A	7.70e-190	5.90e-62	[], []
3	ON502424.1	835	1134	A.1	N/A	N/A	1-494,495-505,506-1134	494-506 -> 	A.1.NmC2 + A.1 + A.1.NmC2	>>	N/A	494-495, 505-506	N/A	5.28e-50	8.58e+04	[], []
3	ON022510.1	835	1187	A.1	N/A	N/A	1-1104,1121-1187	1104-1121	A.1.NmC2 + A.1.NmC1	>>	N/A	1114-1115	N/A	3.82e-190	9.43e-79	[], []
